Name,Weight (lbs),Height (inches)
"Evans, Fred",185,71
"Raiff, Jim",235,70
"Fowler, Bobby",230,74
"Johnson, Quinn",255,73
"Walton, L.T.",305,77
"Petty, Ross",180,73
"Farris, Tom",185,73
"Leggett, Jordan",250,77
"Thompson, Pinky",,
"Gonda, George",175,70
"Tanner, John",231,76
"Raglin, Floyd",180,69
"Zabransky, Jared",219,74
"Adams, Joe",185,71
"Otto, Gus",220,73
"Thomas, Gene",210,73
"Demory, Bill",195,74
"Garner, Manasseh",220,74
"Verdin, Clarence",160,68
"DeRiggi, Fred",268,74
"Schuler, Bill",215,72
"Nady, Jeff",305,79
"Rivera, Ron",235,75
"Reagor, Montae",285,75
"Sealby, Randy",230,74
"Sergienko, George",248,73
"Beckwith, Norm",150,
"Tafoya, Joe",258,76
"Hall, Bryan",280,72
"Wallace, Kyle",295,78
"Darby, Al",221,77
"Dell, Mark",195,74
"D'Amato, Mike",205,74
"Sampson, Howard",185,70
"Bass, Norm",210,75
"Coleman, Kurt",200,71
"Larson, Bill",225,76
"Carrie, T.J.",205,72
"Weary, Fred",181,70
"Allen, Nate",210,72
"Riley, Chris",305,77
"Reid, Breezy",187,70
"Gehrke, Bruce",190,74
"Baker, Dave",192,72
"Ellis, Ed",325,77
"Williams, Isaiah",295,75
"Baker, Jason",205,74
"Washington, Fabian",175,71
"Pharr, Tommy",187,70
"Alderson, Winston",344,76
"Bell, Mark",175,69
"Randolph, Dane",310,77
"Bausby, DeVante",190,74
"Knolla, Johnny",180,70
"Wilkinson, Elijah",331,76
"Lewis, Joe",256,74
"James, Waymon",203,68
"Nichelini, Al",207,74
"Castillo, Greg",187,71
"Harkey, Lance",180,70
"Foley, Tim",275,78
"Webster, Jason",187,69
"Mathis, Bill",220,73
"Johnson, Trumaine",208,74
"Beadles, Zane",305,76
"Feeney, Dan",304,76
"Elliott, Tony",282,74
"Kaleita, Tom",318,78
"Lewis, Andrew",303,74
"Thaxton, Jim",240,74
"Holmes, Khaled",309,75
"Goldberg, Cameron",265,78
"Savage, Tom",230,76
"Scarbath, Jack",206,74
"Kindle, Greg",265,76
"Tunsil, Laremy",316,77
"Taylor, Greg",175,68
"Frampton, Eric",202,71
"Malone, Chuck",206,76
"Williams, Marquez",259,70
"Gain, Bob",256,75
"Davis, Tony",212,71
"Riley, Perry",240,72
"Blackmon, Will",212,72
"Seau, Ian",256,74
"Carrington, Paul",270,79
"Maddox, Tommy",219,76
"Eubanks, Darius",222,74
"Lewis, Kevin",285,73
"Johnson, Derrick",186,70
"Fontes, Wayne",190,72
"Ball, Jerry",330,73
"Dees, Andre",266,78
"Ghee, Patrick",211,73
"Johnson, Lorne",195,74
"Scaccia, Fabrizio",210,73
"Dixon, Cal",302,76
"Davis, Jason",320,75
"Calligaro, Len",190,71
"Maxey, Marcus",200,74
"Zorich, George",213,74
"Lanham, Charlie",170,
"Ekwerekwu, Brad",215,75
"Kelley, Ed",230,76
"Leahy, Bernie",185,71
"Carstens, Jordan",300,77
"Evans, Randall",195,72
"Mady, Lamar",315,74
"Wenke, Ad",220,76
"Taylor, Jim Bob",205,74
"Neil, Dallas",235,73
"Reynolds, Tom",200,75
"Thomas, Orlando",225,73
"Young, Titus",174,71
"Capron, Ralph",165,71
"Gardner, Gilbert",228,73
"Martin, Larry",270,74
"Hagood, Jay",306,77
"Jackson, Malik",300,77
"May, Art",255,75
"Johnson, Lee",200,73
"Feasel, Greg",300,79
"Farmer, Ray",225,75
"Hall, Tramain",190,70
"Sandham, Todd",255,75
"Kirlew, Jammie",260,73
"Eilers, Pat",195,71
"Fulton, Zach",316,77
"Johnson, Jack",198,75
"Anderson, Ralph",223,76
"Geathers, Clifton",325,80
"Banks, Jason",296,77
"Garvin, Michael Ray",182,68
"Perko, John",225,73
"Teeter, Mike",275,74
"Hall, Jeff",190,71
"Talamini, Bob",255,73
"Wallace, Davonte",308,75
"Erlandson, Tom Jr.",220,73
"Tate, Brandon",195,73
"Marion, Jerry",175,70
"McCambridge, John",245,76
"Manzini, Bap",195,71
"Liuget, Corey",300,74
"Herzlich, Mark",246,76
"Daley, Brenden",250,75
"Carlson, John",248,77
"Harris, Bryce",300,78
"Talley, Stan",220,77
"Johnson, T.J.",300,76
"Chambers, Chris",210,71
"Allred, Colin",242,73
"Lett, Leon",290,78
"James, Garry",214,70
"Caldwell, Bruce",190,72
"Norwood, Kevin",210,74
"Agajanian, Ben",215,72
"Bower, Tashawn",250,77
"Reed, Rayshun",185,69
"McCants, Matt",310,78
"Newman, Harry",179,68
"McMillan, Raekwon",243,74
"Lewan, Taylor",309,79
"Glazebrook, Bob",200,73
"Barker, Jay",220,75
"Castile, L.J.",223,75
"Estandia, Greg",266,80
"Farmer, George",175,70
"Wells, Norm",261,77
"Jeffcoat, Sean",200,74
"Watts, Darius",190,74
"Armour, JoJuan",220,71
"Newell, Mike",300,76
"Chung, Patrick",215,71
"Tingelhoff, Mick",237,74
"Gogolak, Charlie",165,70
"Yamini, Bashir",201,75
"Scotti, Ben",185,73
"Dellerba, Spiro",200,71
"Drake, Kenyan",216,73
"Walker, Denard",190,73
"Rollins, Quinten",195,71
"Reid, Willie",192,70
"Daniels, Travis",195,73
"Frantz, Jack",230,75
"Beck, Matt",238,75
"Petrich, Bob",252,76
"Dalman, Chris",297,75
"Fant, George",296,77
"Davis, Andra",255,73
"Harrison, Kenny",176,72
"Maguire, Paul",228,72
"O'Leary, Dan",248,75
"Carpenter, Rudy",215,74
"Richardson, Jay",280,78
"Barber, Mike",235,75
"Sarringhaus, Paul",185,72
"Munson, Calvin",245,73
"Payton, Jarrett",220,72
"Oates, Bart",275,75
"Bannon, Bruce",225,75
"Aldridge, Allen",254,73
"Harris, Steve",194,71
"Barbieri, Howard",300,77
"Langer, Jim",250,74
"Zemaitis, Alan",200,74
"Letlow, Russ",214,72
"Tripp, Jordan",244,76
"Kinard, Bruiser",216,73
"Wahlroos, Drew",240,75
"Webb, Chuck",201,69
"Pillath, Roger",242,76
"Amos, Willie",186,72
"Harrison, Todd",260,76
"Kotite, Rich",230,75
"Davis, Reggie",159,72
"Hakim, Saalim",188,71
"Jenkins, John",188,72
"Webb, Art",210,70
"Mizzell, Taquan",185,70
"Harris, Dick",187,71
"Bean, Jimmy",251,77
"Showers, Jameill",230,74
"Baker, Rashad",200,70
"Garrett, Alvin",178,67
"Kistler, Danny",315,79
"McClain, Robert",195,69
"Akins, Chris",323,73
"Ceaser, Curtis",190,74
"Allen, Doug",228,74
"Richman, Harry",186,71
"Cassady, Hopalong",183,70
"Aberson, Cliff",195,72
"Fuller, Kyle",306,77
"Regan, Jim",172,
"Osmanski, Joe",218,74
"Scarber, Sam",230,75
"Johnson, Jaleel",309,75
"Perry, Joshua",253,76
"Gatewood, Corey",190,70
"Battle, Ron",220,75
"Nelson, Robert",214,73
"Janikowski, Sebastian",265,73
"Hall, Ron",245,76
"Quinlan, Bill",248,75
"Sanders, Chris",188,73
"Wetzel, John",328,79
"Thompson, David",295,77
"Hall, Delton",195,73
"Campbell, Bill",195,72
"Kaska, Tony",193,71
"Knop, Oscar",191,72
"Reynolds, Homer",190,70
"Cagle, Chris",174,70
"Erickson, Mike",304,76
"Carmichael, Roc",197,70
"Anderson, Cliff",215,74
"Dray, Jim",255,77
"Graham, Tyson",210,74
"Sorensen, Daniel",208,74
"Figurs, Yamon",175,71
"Pinckert, Ernie",197,72
"Barnes, Billy",201,71
"Lathan, Greg",195,73
"Fernandes, Ron",251,76
"Tarkenton, Fran",190,72
"Mays, Frances",291,81
"Seick, Red",195,72
"Mays, Corey",245,73
"Catanho, Alcides",230,75
"Tillman, Rusty",230,74
"Ikard, Gabe",304,76
"Earl, Glenn",213,73
"Carter, Duron",205,77
"Leisk, Rube",195,72
"Delmas, Louis",208,71
"Parks, Dave",220,74
"Bassett, Henry",215,74
"Utley, Mike",288,78
"Lehr, Matt",304,74
"Dirden, Johnnie",190,72
"Randall, Damarious",196,71
"Vaughan, Harp",150,67
"Jones, T.J.",190,72
"Koeper, Rich",260,76
"Olson, Jeff",300,76
"Jones, Abry",318,76
"Gaulke, Hal",175,68
"Hill, Alvin",190,71
"Whire, Jodie",185,73
"Jackson, Nate",235,75
"Washington, R.J.",270,75
"Denson, Moses",215,73
"Emelianchik, Pete",213,74
"Gibson, Damon",183,69
"Roberts, Wooky",160,67
"Pitts, Alabama",185,70
"Sanchez, Davis",190,70
"Johnson, Marcus",321,78
"Jeter, Tommy",285,77
"Kennedy, Jimmy",160,69
"Harris, Marcus",187,73
"Mason, Tommy",196,73
"Davis, Pernell",320,74
"Mauldin, Stan",225,74
"Lipscomb, Paul",246,77
"Humes, Chris",207,71
"Dean, Fred",253,75
"Thibaut, Jim",205,71
"Johnson, Robert",206,74
"Johnson, Farnham",215,72
"Noa, Kaulana",307,75
"Franklin, Stephen",235,72
"Weaver, Charlie",220,74
"Seidelson, Red",202,73
"Odom, Jason",312,77
"Savoy, Phil",195,74
"James, Dan",250,76
"Saunders, Cedric",240,75
"Niziolek, Bob",220,76
"Thure, Brian",300,77
"Lewis, Damione",301,74
"Maillard, Ralph",190,74
"Ottaiano, Tom",295,73
"Scaldaferri, Stephen",210,70
"MacMurdo, Jim",209,73
"Odson, Urban",251,75
"Fazande, Jermaine",255,74
"Cameron, Colby",210,74
"Quinn, Ivan",230,72
"Taylor, Roger",271,78
"Gillen, John",227,75
"Tretter, JC",307,76
"Owens, Mel",224,74
"Rice, Ron",217,73
"Johnson, Damone",230,76
"Carey, Richard",185,69
"Lewis, Alex",315,78
"Temp, Jim",245,76
"Norman, Dennis",313,77
"Smith, Daryl",250,74
"Campos, Alan",236,75
"Vaughn, Chase",248,74
"Richardson, Daryl",196,71
"Kerr, Zach",334,74
"Andrulewicz, Teddy",175,71
"Campbell, Glen",280,76
"Perkins, Don",204,70
"Gibson, Ernest",189,70
"Frank, Joe",217,73
"Washington, Deron",211,73
"Filchock, Frank",193,71
"Agee, Tommie",235,72
