mass_A
t	x	y
0.000000000E0	8.816951608E-2	7.025325181E-1
1.250000000E-2	8.878014926E-2	6.844678489E-1
2.500000000E-2	8.889056185E-2	6.621980541E-1
3.750000000E-2	8.925654562E-2	6.400571767E-1
5.000000000E-2	8.946823404E-2	6.178384224E-1
6.250000000E-2	8.993708875E-2	5.955537985E-1
7.500000000E-2	8.995454626E-2	5.683149504E-1
8.750000000E-2	9.018538762E-2	5.396925818E-1
1.000000000E-1	9.028269116E-2	5.112678973E-1
1.125000000E-1	9.036001268E-2	4.835467848E-1
1.250000000E-1	8.998958649E-2	4.500466614E-1
1.375000000E-1	8.998202859E-2	4.209368067E-1
1.500000000E-1	9.019464936E-2	3.835295209E-1
1.625000000E-1	9.010204476E-2	3.505008729E-1
1.750000000E-1	9.021195523E-2	3.107228072E-1
1.875000000E-1	9.019921255E-2	2.715953308E-1
2.000000000E-1	9.000730442E-2	2.298473467E-1
2.125000000E-1	8.997737187E-2	1.874722487E-1
2.250000000E-1	8.900528481E-2	1.421767679E-1
2.375000000E-1	8.897703928E-2	9.650852652E-2
2.500000000E-1	8.906907120E-2	5.042574405E-2
2.625000000E-1	8.898204066E-2	-5.284416748E-3
2.750000000E-1	8.849257953E-2	-5.585387074E-2
2.875000000E-1	8.923222364E-2	-6.260750082E-2
3.000000000E-1	9.031099750E-2	-1.248274385E-2
3.125000000E-1	9.133171836E-2	3.350046611E-2
3.250000000E-1	9.222602200E-2	7.800799590E-2
3.375000000E-1	9.321657688E-2	1.191119488E-1
3.500000000E-1	9.444400473E-2	1.611408569E-1
3.625000000E-1	9.610826326E-2	1.987812619E-1
3.750000000E-1	9.672659265E-2	2.361500161E-1
3.875000000E-1	9.789060665E-2	2.734557085E-1
4.000000000E-1	9.927792271E-2	3.072020529E-1
4.125000000E-1	9.979232938E-2	3.345365314E-1
4.250000000E-1	1.003264124E-1	3.644602454E-1
4.375000000E-1	1.008959522E-1	3.903106652E-1
4.500000000E-1	1.014158713E-1	4.168556179E-1
4.625000000E-1	1.032101836E-1	4.464867961E-1
4.750000000E-1	1.035953642E-1	4.684067910E-1
4.875000000E-1	1.040261539E-1	4.900947897E-1
5.000000000E-1	1.044389782E-1	5.113112882E-1
5.125000000E-1	1.034936638E-1	5.260558789E-1
5.250000000E-1	1.050917791E-1	5.474599566E-1
5.375000000E-1	1.053956683E-1	5.637954184E-1
5.500000000E-1	1.056536632E-1	5.791758822E-1
5.625000000E-1	1.059021899E-1	5.924312016E-1
5.750000000E-1	1.061841018E-1	6.055152690E-1
5.875000000E-1	1.063338392E-1	6.162802018E-1
6.000000000E-1	1.064953175E-1	6.254111426E-1
6.125000000E-1	1.066377532E-1	6.338898338E-1
6.250000000E-1	1.067457993E-1	6.403654160E-1
6.375000000E-1	1.067421113E-1	6.461868964E-1
6.500000000E-1	1.068408046E-1	6.502214556E-1
6.625000000E-1	1.069301246E-1	6.529736029E-1
6.750000000E-1	1.069520042E-1	6.544597103E-1
6.875000000E-1	1.069772375E-1	6.544321000E-1
7.000000000E-1	1.069363746E-1	6.539470430E-1
7.125000000E-1	1.068793040E-1	6.510950379E-1
7.250000000E-1	1.067873740E-1	6.475549504E-1
7.375000000E-1	1.068625779E-1	6.428320410E-1
7.500000000E-1	1.066872508E-1	6.366986244E-1
7.625000000E-1	1.065756065E-1	6.289566472E-1
